route	status	final_path	title
/	200	/	AGI | One AI Workspace. Six Surfaces. Your Rules.
/about	200	/about	About: Multi-provider by design | AGI
/acceptable-use	200	/acceptable-use	Acceptable use policy | AGI
/accessibility	200	/accessibility	Accessibility | AGI
/admin	200	/login?redirectTo=%2Fadmin	Sign In | AGI
/admin/directory-sync	200	/login?redirectTo=%2Fadmin%2Fdirectory-sync	Sign In | AGI
/agent-permissions	200	/agent-permissions	Agent permissions | AGI
/agi-code	200	/agi-code	AGI Code | CLI + VS Code developer stack | AGI
/agi-work	200	/agi-work	AGI Work: goal in, autonomous tool loop, reviewable deliverables | AGI
/ai-skills	200	/ai-skills	AGI | One AI workspace across models and tools.
/api-docs	200	/api-docs	API docs | AGI
/api-reference	200	/api-reference	AGI | One AI workspace across models and tools.
/apps	200	/apps	AGI | One AI workspace across models and tools.
/auth/chrome-extension	200	/auth/chrome-extension	AGI | One AI workspace across models and tools.
/auth/device	200	/auth/device	AGI | One AI workspace across models and tools.
/auth/error	200	/auth/error	AGI | One AI workspace across models and tools.
/auth/login	200	/auth/login	AGI | One AI workspace across models and tools.
/auth/reset-password	200	/auth/reset-password	Reset Password | AGI
/auth/update-password	200	/auth/update-password	Update Password | AGI
/billing	200	/login?redirectTo=%2Fbilling	Sign In | AGI
/blog	200	/blog	Writing | AGI
/buildathon	200	/buildathon	Siddhartha Nagula | Buildathon Profile | AGIWorkforce | AGI
/business	200	/business	AGI for Business: Local, BYOK, and managed-cloud workspaces | AGI
/byok	200	/byok	BYOK: Bring Your Own Keys to Desktop &amp; CLI | AGI
/careers	200	/careers	Careers | AGI
/changelog	200	/changelog	Changelog | AGI
/chat	200	/login?redirectTo=%2Fchat	Sign In | AGI
/chat/code	200	/login?redirectTo=%2Fchat%2Fcode	Sign In | AGI
/chat/customize	200	/login?redirectTo=%2Fchat%2Fcustomize	Sign In | AGI
/chat/library	200	/login?redirectTo=%2Fchat%2Flibrary	Sign In | AGI
/chat/projects	200	/login?redirectTo=%2Fchat%2Fprojects	Sign In | AGI
/chat/schedules	200	/login?redirectTo=%2Fchat%2Fschedules	Sign In | AGI
/chrome-extension	200	/chrome-extension	AGI in Chrome | Browser Context, Desktop Execution | AGI
/cli	200	/cli	AGI CLI: the agi agent in your terminal | AGI
/community	200	/community	Community | AGI
/connectors	200	/connectors	AGI | One AI workspace across models and tools.
/connectors/mcp-directory	200	/connectors/mcp-directory	MCP Reference Servers | AGI
/connectors/new	200	/connectors/new	AGI | One AI workspace across models and tools.
/connectors/permissions	200	/connectors/permissions	AGI | One AI workspace across models and tools.
/contact	200	/contact	Contact Us | AGI
/contact-sales	200	/contact-sales	Contact sales | AGI
/cookies	200	/cookies	Cookie policy | AGI
/copyright	200	/copyright	Copyright and IP complaints | AGI
/customers	200	/customers	Customers | AGI
/data-use	404	/data-use	AGI | One AI workspace across models and tools.
/desktop	200	/desktop	AGI Desktop | Runs on Your Machine | AGI
/dev/inline-toolcall-demo	200	/dev/inline-toolcall-demo	AGI | One AI workspace across models and tools.
/device-auth	200	/device-auth	AGI | One AI workspace across models and tools.
/docs	200	/docs	Documentation | AGI
/docs/byok-env	200	/docs/byok-env	Env-based BYOK in v1 | AGI
/documentation	200	/documentation	AGI | One AI workspace across models and tools.
/download	200	/download	Download AGI | Desktop and Product Availability | AGI
/downloads	200	/downloads	AGI | One AI workspace across models and tools.
/dpa	200	/dpa	Data Processing Addendum | AGI
/enterprise	200	/enterprise	Enterprise: evaluate without exposing your data | AGI
/faq	200	/faq	FAQ | AGI
/features	200	/features	AGI Features | Chat, Artifacts, Projects, Tools, Memory &amp; Research | AGI
/features/agents	200	/features/agents	AGI Agents | Delegated Work With Explicit Permissions | AGI
/features/ai-chat	200	/features/ai-chat	AGI AI Chat | One Conversation Across Six Surfaces | AGI
/features/ai-skills	200	/features/ai-skills	AGI | One AI workspace across models and tools.
/features/artifacts	200	/features/artifacts	AGI Artifacts | Sandboxed Previews, Versions &amp; Downloads | AGI
/features/deep-research	200	/features/deep-research	AGI Deep Research | Cited Answers Across Web, Files &amp; Tools | AGI
/features/memory	200	/features/memory	AGI Memory | Plain-Language Facts You Control | AGI
/features/plugins	200	/features/plugins	AGI Plugins | Bundle Commands, Skills, Hooks &amp; MCP Servers | AGI
/features/projects	200	/features/projects	AGI Projects | A Home for Recurring Work | AGI
/features/tools	200	/features/tools	AGI Tools &amp; Connectors | MCP Servers, OAuth Apps &amp; Tool Permissions | AGI
/forgot-password	200	/forgot-password	Reset Password | AGI
